,close,datetime,high,low,open,volume
278,208.88,1533790800000,209.78,207.2,207.28,23492626
279,207.53,1533877200000,209.1,206.67,207.36,24611202
280,208.87,1534136400000,210.952,207.7,207.7,25890880
281,209.75,1534222800000,210.56,208.26,210.155,20748010
282,210.24,1534309200000,210.74,208.33,209.22,28807564
283,213.32,1534395600000,213.8121,211.47,211.75,28500367
284,217.58,1534482000000,217.95,213.16,213.44,35426997
285,215.46,1534741200000,219.18,215.11,218.1,30287695
286,215.04,1534827600000,217.19,214.025,216.8,26159755
287,215.05,1534914000000,216.36,213.84,214.1,19018131
288,215.49,1535000400000,217.05,214.6,214.65,18883224
289,216.16,1535086800000,216.9,215.11,216.6,18476356
290,217.94,1535346000000,218.74,216.33,217.15,20525117
291,219.7,1535432400000,220.54,218.92,219.01,22776766
292,222.98,1535518800000,223.49,219.41,220.15,27254804
293,225.03,1535605200000,228.26,222.4,223.25,48793824
294,227.63,1535691600000,228.87,226.0,226.51,43340134
295,228.36,1536037200000,229.18,226.63,228.41,27390132
296,226.87,1536123600000,229.67,225.1,228.99,33332960
297,223.1,1536210000000,227.35,221.3,226.23,34289976
298,221.3,1536296400000,225.37,220.71,221.85,37619810
299,218.33,1536555600000,221.85,216.47,220.95,39516453
300,223.85,1536642000000,224.299,216.56,218.01,35749049
301,221.07,1536728400000,225.0,219.84,224.94,49278740
302,226.41,1536814800000,228.35,222.57,223.52,41706377
303,223.84,1536901200000,226.84,222.522,225.75,31999289
304,217.88,1537160400000,222.95,217.27,222.15,37195133
305,218.24,1537246800000,221.85,217.12,217.79,31571712
306,218.37,1537333200000,219.62,215.3,218.5,27123833
307,220.03,1537419600000,222.28,219.15,220.24,26608794
308,217.66,1537506000000,221.36,217.29,220.78,96246748
309,220.79,1537765200000,221.26,216.63,216.82,27693358
310,222.19,1537851600000,222.82,219.7,219.75,24554379
311,220.42,1537938000000,223.75,219.76,221.0,23984706
312,224.95,1538024400000,226.44,223.54,223.82,30181227
313,225.74,1538110800000,225.84,224.02,224.79,22929364
314,227.26,1538370000000,229.42,226.35,227.95,23600802
315,229.28,1538456400000,230.0,226.63,227.25,24788170
316,232.07,1538542800000,233.47,229.78,230.05,28654799
317,227.99,1538629200000,232.35,226.73,230.78,32042000
318,224.29,1538715600000,228.41,220.58,227.96,33580463
319,223.77,1538974800000,224.8,220.2,222.21,29663923
320,226.87,1539061200000,227.27,222.2462,223.64,26891029
321,216.36,1539147600000,226.35,216.05,225.46,41990554
322,214.45,1539234000000,219.5,212.32,214.52,53124392
323,222.11,1539320400000,222.88,216.84,220.42,40337851
324,217.36,1539579600000,221.83,217.27,221.16,30791007
325,222.15,1539666000000,222.99,216.7627,218.93,29183963
326,221.19,1539752400000,222.64,219.34,222.3,22885397
327,216.02,1539838800000,219.74,213.0,217.86,32581315
328,219.31,1539925200000,221.26,217.43,218.06,33078726
329,220.65,1540184400000,223.36,218.94,219.79,28792082
330,222.73,1540270800000,223.25,214.7,215.83,38767846
331,215.09,1540357200000,224.23,214.54,222.6,40925163
